Product,Outlet,ARIMA_RMSE,ARIMA_MAE,ARIMA_MAPE,Prophet_RMSE,Prophet_MAE,Prophet_MAPE
Laptop Pro,Outlet_B,468.40386509984296,369.31266328030625,1.0369169492789887,580.2579883889056,467.4139989916357,1.4060051998305692
Tablet Air,Outlet_I,564.1225121316494,501.39145008807117,0.7132932316020294,637.8118503794227,583.3797752555874,0.8903427949753842
Laptop Pro,Outlet_J,521.5067237489473,453.9905840548212,0.858661560188466,525.904960014532,441.94547600273114,0.8622865144205195
Gaming Console,Outlet_A,580.7600207003818,513.9858758374486,3.553759726843765,538.1286737394861,477.09763976924506,3.508552367653484
Wireless Headphones,Outlet_F,608.2450813647303,528.1975612901966,2.0285289293369893,645.9904759190933,549.53993085084,2.2953688049324303
Webcam,Outlet_A,614.5102006357898,563.2932759359961,3.3061531182572197,620.0803141614185,547.1616663983119,3.603365160278163
Mechanical Keyboard,Outlet_J,609.1138676982245,484.8825102340007,2.8067720527494058,575.1873755936614,545.2791961153315,2.1744741662108535
Digital Camera,Outlet_B,410.9202973231379,326.1858646500453,0.4796686891560913,510.8646451674839,386.4981882626093,0.545525301950084
Mechanical Keyboard,Outlet_C,542.8855773172692,462.6818585526241,0.9469761941370308,471.836228781091,413.8448814556029,0.7554422617995772
Gaming Console,Outlet_J,558.0241181455365,478.0268412248513,0.76128798345322,608.6406273021279,537.533053455861,0.8205537181494472
Digital Camera,Outlet_I,633.1964382027336,539.1749556579152,0.4440528732123734,643.0523658274236,534.738332677632,0.43265077161947074
Fitness Tracker,Outlet_G,366.0204202450314,272.5786903856414,0.5210014045274511,311.2654025530195,229.80868880246302,0.43304446030308025
Smart Watch,Outlet_H,497.0898609308914,381.9422913939379,1.3092407120342846,492.21934826162396,415.30457925426396,1.1865185825610278
Power Bank,Outlet_J,584.8835232370868,553.827376950999,1.7322626266911738,632.5747226254804,603.8111372785062,1.8439504196193057
Microphone,Outlet_I,589.1765917996217,553.2776533186325,0.8768297751771122,542.7102147079953,501.57503304426496,0.723748104350943
Projector,Outlet_G,480.8825610801524,435.24855643706405,0.7394128411282294,538.9754177054303,472.85960750874165,0.7113684158403822
Laptop Pro,Outlet_I,525.9054629321485,476.68130527648026,2.3759838627323226,455.5776139665368,408.78987571836177,2.0618978494057223
Monitor,Outlet_E,483.9935151874963,406.4420976967563,1.1337547860674106,459.7695597592628,378.4470923540529,0.7945981455088891
Bluetooth Speaker,Outlet_J,689.9805092926064,633.1278693805923,1.3176231094114434,732.4193701906082,649.9352002504174,1.524641499276493
Projector,Outlet_A,494.55142291585577,404.61868304247804,4.578044960850049,474.30775165741716,379.37850851510797,4.043182300931284
Digital Camera,Outlet_E,577.6938820270984,504.0756005834109,0.6490866400463751,640.6078714933462,531.2557770268525,0.6759992010179845
Smart Watch,Outlet_I,571.6962286896072,515.9528036146758,1.0893175169979958,603.9284022108302,553.0451779796407,1.1264064509895062
Webcam,Outlet_F,645.045378680461,605.3672225770891,0.8888237474521744,657.4530930662313,540.6082447881549,0.6753414028278902
Scanner,Outlet_A,588.5379236199898,534.2010153408635,1.538338671180262,641.8961593529667,583.535699784977,1.66144798456635
Tablet Air,Outlet_D,544.5593470732454,448.3081813783852,1.5002969724229376,577.8787612068189,454.8126095886946,1.6340340898977088
Bluetooth Speaker,Outlet_H,481.6219929577734,343.7669523094237,0.42800030915314285,554.5704709291982,440.66035520239666,0.5581348265511884
Wireless Headphones,Outlet_D,617.8510958435173,572.4140317234246,4.739379858996338,624.1666675851284,584.8088605640215,4.466106152307421
Wireless Headphones,Outlet_A,556.2004105335634,451.6403007639181,0.45744126044397104,534.2407747360947,415.2516810792029,0.42355142847195454
Printer,Outlet_H,612.5596677690763,541.0591923021377,1.444146762070358,646.6336561420685,550.9710155359123,1.1965436450299156
Power Bank,Outlet_C,585.3641834435126,459.17753974088004,1.0841163262180784,550.9025842154368,449.89141973543605,1.0790486357925912
USB Drive,Outlet_A,629.1155710399676,566.926331446169,2.111363800499023,639.9496241277496,578.439261091537,1.9401060869914228
Smartphone X,Outlet_I,494.09052064017294,425.4422084480104,0.5686971484836484,573.0108495831115,495.91723043490623,0.6633824633471403
Gaming Console,Outlet_I,400.3113279711324,333.9057503860675,0.9629749971328305,406.5362050865755,358.17702666933246,0.8997354461769276
USB Drive,Outlet_D,491.6539484484781,442.6853057055873,0.40422352625210106,543.3102788664373,463.52308671296504,0.3864726586658696
Scanner,Outlet_G,427.3780831349404,389.3536092174506,0.5072118177848348,397.3978024063181,322.0227352427341,0.3708440502728229
Fitness Tracker,Outlet_D,581.0864189769514,522.2191051541726,1.7597995579016963,653.1882605956002,607.1929801098606,2.4814802791062847
VR Headset,Outlet_I,399.6200667201273,325.4877215681708,0.810182813172757,349.80032748608255,309.82247406368623,0.7693918030187521
Smart Watch,Outlet_B,494.1927159539474,396.3864495648081,0.45490413701418225,536.4959705168375,429.7002633673563,0.4730030758894633
Fitness Tracker,Outlet_H,523.2518906099227,497.1081426667841,0.6283545489302002,595.9788531404218,542.2221575309575,0.5823574611931986
Laptop Pro,Outlet_A,359.47934773756805,323.7278139261637,0.6045955607798207,392.31435509951484,342.83177217654537,0.5718736103547885
Printer,Outlet_C,497.5550173111135,420.99489508644393,4.252813524350809,458.0321300353861,391.12993685696733,3.179228469952742
VR Headset,Outlet_A,550.1513383065151,441.2039692329766,1.7799022525472281,487.52458425870964,379.390943456415,1.2084497932729166
